id,listing_url,scrape_id,host_id,host_name,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,city,state,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy,calculated_host_listings_count,reviews_per_month
20070296,https://www.airbnb.com/rooms/20070296,2.0171E+13,5173627,Tara,100%,f,2,2,Brooklyn,NY,11201,Townhouse,Entire home/apt,7,3.5,4,5,Real Bed,$850.00 ,,,"$1,700.00 ",$300.00 ,1,$0.00 ,4,100,10,10,10,10,10,10,strict,1,1.76
2432545,https://www.airbnb.com/rooms/2432545,2.0171E+13,3053987,Darwin And Nicole,100%,f,2,2,Brooklyn,NY,11221,Apartment,Entire home/apt,3,1,1,1,Real Bed,$79.00 ,$485.00 ,"$1,680.00 ",$150.00 ,$75.00 ,2,$10.00 ,38,87,9,9,10,9,8,9,moderate,2,0.96
20810311,https://www.airbnb.com/rooms/20810311,2.0171E+13,149227259,Henry,100%,f,1,1,New York,NY,10012,Apartment,Entire home/apt,2,1,1,1,Real Bed,$199.00 ,,,$200.00 ,$125.00 ,2,$20.00 ,0,,,,,,,,strict,1,
1797986,https://www.airbnb.com/rooms/1797986,2.0171E+13,6772693,Victoria,100%,f,2,2,Brooklyn,NY,11222,Apartment,Private room,1,1,1,1,Real Bed,$55.00 ,$350.00 ,"$1,400.00 ",,,1,$0.00 ,18,98,10,9,10,10,10,10,strict,2,0.66
9855566,https://www.airbnb.com/rooms/9855566,2.0171E+13,43943644,Alvaro,100%,f,1,1,Brooklyn,NY,11222,Apartment,Private room,1,1,1,1,Real Bed,$95.00 ,,"$1,500.00 ",$300.00 ,$45.00 ,1,$0.00 ,0,,,,,,,,moderate,1,
1300216,https://www.airbnb.com/rooms/1300216,2.0171E+13,2135948,Giovanni,100%,t,1,1,Queens,NY,11102,Apartment,Entire home/apt,4,1,1,2,Real Bed,$115.00 ,,"$2,600.00 ",$200.00 ,$60.00 ,2,$20.00 ,29,95,10,9,9,10,10,10,strict,1,0.77
8456014,https://www.airbnb.com/rooms/8456014,2.0171E+13,44510032,Stefanie,,f,1,1,Brooklyn,NY,11211,Apartment,Private room,2,1,1,1,Real Bed,$100.00 ,,,,,1,$0.00 ,0,,,,,,,,flexible,1,
8381953,https://www.airbnb.com/rooms/8381953,2.0171E+13,44171084,Sheena,100%,t,1,1,New York,NY,10031,Apartment,Entire home/apt,3,1,1,2,Real Bed,$124.00 ,,,,$75.00 ,2,$15.00 ,49,98,10,10,10,10,9,10,flexible,1,2.91
7827616,https://www.airbnb.com/rooms/7827616,2.0171E+13,41219108,Darsell,,f,1,1,Queens,NY,11103,Apartment,Private room,1,1,1,1,Real Bed,$50.00 ,$300.00 ,,,$20.00 ,1,$0.00 ,1,100,10,10,10,10,10,10,moderate,1,0.08
18423403,https://www.airbnb.com/rooms/18423403,2.0171E+13,27265654,Shannon,100%,f,1,1,New York,NY,10013,Apartment,Entire home/apt,4,1,1,2,Real Bed,$175.00 ,,,$200.00 ,$100.00 ,1,$0.00 ,14,93,10,9,9,9,9,9,strict,1,2.69
9264919,https://www.airbnb.com/rooms/9264919,2.0171E+13,48126798,Erry And Laverne,100%,f,2,2,Brooklyn,NY,11208,Apartment,Entire home/apt,4,1,1,2,Real Bed,$95.00 ,,,$200.00 ,$50.00 ,4,$30.00 ,64,95,10,10,10,10,8,10,strict,1,2.9
18071406,https://www.airbnb.com/rooms/18071406,2.0171E+13,69572951,Ilija,,f,1,1,New York,NY,10019,Apartment,Private room,1,1,1,1,Real Bed,$100.00 ,,,,,1,$0.00 ,0,,,,,,,,flexible,1,
20978416,https://www.airbnb.com/rooms/20978416,2.0171E+13,7182337,Petko,100%,f,1,1,New York,NY,10003,Apartment,Private room,3,1,1,1,Real Bed,$210.00 ,,,$0.00 ,$175.00 ,1,$0.00 ,0,,,,,,,,moderate,1,
20502677,https://www.airbnb.com/rooms/20502677,2.0171E+13,4824545,Tralynn,64%,f,3,3,Queens,NY,11435,Apartment,Shared room,2,1,1,1,Airbed,$35.00 ,,,$0.00 ,$10.00 ,1,$0.00 ,1,100,10,10,10,10,10,10,flexible,3,1
3068109,https://www.airbnb.com/rooms/3068109,2.0171E+13,15612564,Ila,100%,t,1,1,New York,NY,10036,Apartment,Private room,2,1,1,2,Real Bed,$125.00 ,,,$200.00 ,$27.00 ,1,$25.00 ,89,96,10,10,10,10,10,9,strict,1,2.34
20189480,https://www.airbnb.com/rooms/20189480,2.0171E+13,17711922,Nuala,75%,f,1,1,Queens,NY,11372,Apartment,Entire home/apt,5,1,2,4,Real Bed,$250.00 ,,,$0.00 ,$0.00 ,5,$25.00 ,2,100,10,8,8,8,10,10,flexible,1,1
7176975,https://www.airbnb.com/rooms/7176975,2.0171E+13,32933539,Maria,,f,1,1,New York,NY,10032,Apartment,Entire home/apt,4,1.5,2,2,Real Bed,$165.00 ,$900.00 ,"$3,500.00 ",$250.00 ,$75.00 ,4,$15.00 ,1,,,,,,,,moderate,1,0.07
19711234,https://www.airbnb.com/rooms/19711234,2.0171E+13,138903975,Maxim,100%,f,1,1,Brooklyn,NY,11216,Apartment,Entire home/apt,4,1,1,1,Real Bed,$125.00 ,,,$0.00 ,$75.00 ,1,$0.00 ,0,,,,,,,,moderate,1,
